UserID,Age,Gender,Country,Device,GameGenre,SessionCount,AverageSessionLength,SpendingSegment,InAppPurchaseAmount,FirstPurchaseDaysAfterInstall,PaymentMethod,LastPurchaseDate
c9889ab0-9cfc-4a75-acd9-5eab1df0015c,49.0,Male,Norway,Android,Battle Royale,9,12.83,Minnow,11.4,28.0,Apple Pay,2025-03-19
7c9e413c-ecca-45f2-a780-2826a07952a2,15.0,Male,Switzerland,iOS,Action RPG,11,19.39,Minnow,6.37,18.0,Debit Card,2025-06-08
fd61e419-1a92-4f43-a8c7-135842ad328a,23.0,Male,China,Android,Fighting,9,8.87,Minnow,15.81,30.0,Apple Pay,2025-06-02
bdb7f6d1-ff9a-468c-afe7-43f32a94293e,31.0,Male,Mexico,Android,Racing,12,19.56,Minnow,13.49,9.0,Debit Card,2025-04-01
aa7eec14-4846-47b9-b879-9c98038cda04,37.0,Female,India,Android,Battle Royale,10,15.23,Minnow,10.86,15.0,Paypal,2025-05-05
992232c1-a563-4986-aa8b-b70d687d374f,38.0,Female,China,Android,Fighting,16,25.97,Dolphin,150.51,28.0,Google Pay,2025-05-05
702bafd0-9a08-4269-801e-faf32f9f3ca5,20.0,Female,Italy,Android,Simulation,9,10.98,Whale,608.21,24.0,Debit Card,2025-06-04
fc470ea9-111f-4637-a9ff-7162d81e2ec3,34.0,Female,Denmark,iOS,,15,5.06,Minnow,19.17,30.0,Gift Card,2025-04-26
9b2efc1e-cd4b-48ab-b893-438d57855efa,38.0,Male,Japan,Android,Action RPG,10,21.82,Minnow,11.52,1.0,Paypal,2025-04-08
25723b60-ea5b-4aff-9f23-97fdf5e98c58,46.0,Male,Russia,iOS,Battle Royale,18,16.36,Minnow,7.76,19.0,Google Pay,2025-02-03
2bb44e49-c28d-4023-ac75-33d92cb77870,29.0,Male,Switzerland,iOS,MMORPG,18,27.15,Minnow,13.44,12.0,Debit Card,2025-05-06
a516f724-6b0f-438c-b20b-59f5f35ab06a,31.0,Male,Sweden,Android,Simulation,10,31.1,Dolphin,,,,
f72780cf-bccf-4ae5-8c12-09ee9d511322,30.0,Female,Australia,Android,Role Playing,11,20.97,Minnow,6.06,28.0,Gift Card,2025-07-26
659f30ff-48f1-4e76-8f82-312d98e1ba76,24.0,Male,Turkey,Android,Fighting,12,28.71,Minnow,5.9,27.0,Carrier Billing,2025-08-06
34c56aa2-33c0-40c0-af9b-6c5b45929851,21.0,Male,South Korea,iOS,Sports,12,7.62,Minnow,13.78,20.0,Gift Card,2025-06-28
ae1ccfa2-8967-4981-be8f-a5c3b0f9f394,35.0,Male,Switzerland,Android,Action RPG,10,29.72,Minnow,6.9,1.0,Apple Pay,2025-01-19
bb0cf750-9fd2-4329-acc8-dc40dedaff3d,37.0,Female,Japan,iOS,Card,13,5.39,Minnow,6.17,11.0,Gift Card,2025-06-07
cf1326be-4810-4b4d-bbc9-ff7b8c22d5ab,45.0,Male,Saudi Arabia,Android,Sandbox,11,10.66,Minnow,11.83,16.0,Paypal,2025-02-14
784fa153-301d-4286-adf5-3459e04e8a97,14.0,Female,Sri Lanka,iOS,Racing,10,33.44,Whale,3454.51,22.0,Carrier Billing,2025-01-01
9f1bd962-1ace-403e-aabb-eda9bd08e999,47.0,Female,Sweden,iOS,Fighting,10,14.48,Minnow,13.4,19.0,Credit Card,2025-03-13
2cd9ff69-2a0d-4df7-82d5-400d609f66f5,35.0,Female,Mexico,Android,Simulation,9,25.76,Minnow,17.37,14.0,Credit Card,2025-03-26
d17030c2-e861-4028-aa03-23b18d239a40,14.0,Male,Japan,iOS,Puzzle,9,15.49,Whale,4302.61,30.0,Credit Card,2025-04-08
9b7c844f-1891-49da-a71d-b0b2719deda5,21.0,Male,Canada,Android,Strategy,9,13.64,Whale,1945.86,19.0,Gift Card,2025-02-07
2bf7d319-fba5-4d64-9187-358045a4ed40,54.0,Male,Canada,iOS,Role Playing,12,22.7,Minnow,8.36,27.0,Paypal,2025-03-18
bab46c87-b7a7-4e1c-b56f-d1c8d2897733,47.0,Male,Denmark,Android,Simulation,8,16.56,Minnow,3.71,22.0,Google Pay,2025-07-24
902744c6-0620-47d6-92aa-b1d719b1d50f,52.0,Male,Sri Lanka,Android,Strategy,8,15.21,Dolphin,393.62,17.0,Debit Card,2025-02-09
38041854-4fcc-41f7-a662-cf466afce86f,25.0,Male,Italy,iOS,Fighting,9,9.59,Minnow,18.71,17.0,Apple Pay,2025-08-08
cc7fffae-d126-4f3b-bbc4-c81213b6bf69,51.0,Male,India,iOS,Card,12,26.29,Minnow,1.15,9.0,Carrier Billing,2025-07-20
03e7dc1d-dfe5-4677-aff4-239b6a60ad7c,18.0,Male,Switzerland,Android,Casual,5,21.01,Dolphin,356.98,18.0,Google Pay,2025-08-02
0d4f2cd8-6cee-4133-8cb2-435a0f6d19ef,,Female,Russia,iOS,Sandbox,15,8.9,Minnow,6.24,13.0,Google Pay,2025-04-09
